2503.0, 2811.0, 60.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0039.JPG, 05-09 19:47:52, 0, Auto
2369.0, 2785.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0039.JPG, 05-09 19:47:52, 1, Auto
2503.0, 2809.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0040.JPG, 05-09 19:48:22, 0, Auto
2371.0, 2784.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0040.JPG, 05-09 19:48:22, 1, Auto
2503.0, 2808.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0041.JPG, 05-09 19:48:52, 0, Auto
2376.0, 2780.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0041.JPG, 05-09 19:48:52, 1, Auto
2502.0, 2807.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0042.JPG, 05-09 19:49:22, 0, Auto
2377.0, 2780.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0042.JPG, 05-09 19:49:22, 1, Auto
2503.0, 2808.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0043.JPG, 05-09 19:49:52, 0, Auto
2376.0, 2780.0, 76.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0043.JPG, 05-09 19:49:52, 1, Auto
2503.0, 2807.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0044.JPG, 05-09 19:50:22, 0, Auto
2376.0, 2779.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0044.JPG, 05-09 19:50:22, 1, Auto
2503.0, 2807.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0045.JPG, 05-09 19:50:52, 0, Auto
2378.0, 2777.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0045.JPG, 05-09 19:50:52, 1, Auto
2504.0, 2807.0, 61.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0046.JPG, 05-09 19:51:22, 0, Auto
2379.0, 2777.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0046.JPG, 05-09 19:51:22, 1, Auto
2503.0, 2806.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0047.JPG, 05-09 19:51:52, 0, Auto
2382.0, 2778.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0047.JPG, 05-09 19:51:52, 1, Auto
2503.0, 2806.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0048.JPG, 05-09 19:52:22, 0, Auto
2381.0, 2776.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0048.JPG, 05-09 19:52:22, 1, Auto
2503.0, 2804.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0049.JPG, 05-09 19:52:52, 0, Auto
2386.0, 2772.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0049.JPG, 05-09 19:52:52, 1, Auto
2504.0, 2803.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0050.JPG, 05-09 19:53:22, 0, Auto
2386.0, 2772.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0050.JPG, 05-09 19:53:22, 1, Auto
2503.0, 2802.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0051.JPG, 05-09 19:53:52, 0, Auto
2386.0, 2771.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0051.JPG, 05-09 19:53:52, 1, Auto
2503.0, 2801.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0052.JPG, 05-09 19:54:22, 0, Auto
2392.0, 2768.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0052.JPG, 05-09 19:54:22, 1, Auto
2504.0, 2801.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0053.JPG, 05-09 19:54:52, 0, Auto
2392.0, 2768.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0053.JPG, 05-09 19:54:52, 1, Auto
2504.0, 2800.0, 64.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0054.JPG, 05-09 19:55:22, 0, Auto
