767.0, 1811.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6537_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6538_CROPED.jpg, path time not found, 0, Auto
765.0, 1811.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6538_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6539_CROPED.jpg, path time not found, 0, Auto
764.0, 1810.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6539_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6540_CROPED.jpg, path time not found, 0, Auto
762.0, 1811.0, 87.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6540_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6541_CROPED.jpg, path time not found, 0, Auto
760.0, 1810.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6541_CROPED.jpg, path time not found, 1, Auto
181.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6542_CROPED.jpg, path time not found, 0, Auto
760.0, 1811.0, 87.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6542_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6543_CROPED.jpg, path time not found, 0, Auto
758.0, 1811.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6543_CROPED.jpg, path time not found, 1, Auto
