2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
1409.0, 1260.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7062.JPG, 23-03 11:14:04, 0, Auto
1266.0, 1303.0, 39.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7062.JPG, 23-03 11:14:04, 1, Auto
1387.0, 1242.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7063.JPG, 23-03 11:14:34, 0, Auto
1246.0, 1285.0, 39.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7063.JPG, 23-03 11:14:34, 1, Auto
1369.0, 1224.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7064.JPG, 23-03 11:15:04, 0, Auto
1227.0, 1268.0, 39.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7064.JPG, 23-03 11:15:04, 1, Auto
1348.0, 1203.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7065.JPG, 23-03 11:15:34, 0, Auto
1208.0, 1247.0, 38.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7065.JPG, 23-03 11:15:34, 1, Auto
1331.0, 1181.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7066.JPG, 23-03 11:16:04, 0, Auto
1190.0, 1227.0, 38.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7066.JPG, 23-03 11:16:04, 1, Auto
1314.0, 1159.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7067.JPG, 23-03 11:16:34, 0, Auto
1174.0, 1206.0, 38.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7067.JPG, 23-03 11:16:34, 1, Auto
1299.0, 1136.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7068.JPG, 23-03 11:17:04, 0, Auto
1161.0, 1184.0, 38.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7068.JPG, 23-03 11:17:04, 1, Auto
1285.0, 1112.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7069.JPG, 23-03 11:17:34, 0, Auto
