964.0, 465.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7971_CROPED.JPG, path time not found, 0, Auto
778.0, 512.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7971_CROPED.JPG, path time not found, 1, Auto
964.0, 465.0, 48.0, 116.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7972_CROPED.JPG, path time not found, 0, Auto
778.0, 512.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7972_CROPED.JPG, path time not found, 1, Auto
965.0, 467.0, 46.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7973_CROPED.JPG, path time not found, 0, Auto
779.0, 513.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7973_CROPED.JPG, path time not found, 1, Auto
966.0, 468.0, 45.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7974_CROPED.JPG, path time not found, 0, Auto
778.0, 512.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7974_CROPED.JPG, path time not found, 1, Auto
965.0, 462.0, 46.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7975_CROPED.JPG, path time not found, 0, Auto
779.0, 511.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7975_CROPED.JPG, path time not found, 1, Auto
964.0, 456.0, 47.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7976_CROPED.JPG, path time not found, 0, Auto
777.0, 510.0, 58.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7976_CROPED.JPG, path time not found, 1, Auto
966.0, 460.0, 45.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7977_CROPED.JPG, path time not found, 0, Auto
777.0, 508.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7977_CROPED.JPG, path time not found, 1, Auto
968.0, 464.0, 41.0, 99.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7978_CROPED.JPG, path time not found, 0, Auto
776.0, 508.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7978_CROPED.JPG, path time not found, 1, Auto
966.0, 461.0, 43.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7979_CROPED.JPG, path time not found, 0, Auto
775.0, 508.0, 60.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7979_CROPED.JPG, path time not found, 1, Auto
965.0, 448.0, 46.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7980_CROPED.JPG, path time not found, 0, Auto
759.0, 494.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7980_CROPED.JPG, path time not found, 1, Auto
965.0, 449.0, 46.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7981_CROPED.JPG, path time not found, 0, Auto
760.0, 496.0, 60.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7981_CROPED.JPG, path time not found, 1, Auto
965.0, 441.0, 50.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7982_CROPED.JPG, path time not found, 0, Auto
755.0, 489.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7982_CROPED.JPG, path time not found, 1, Auto
965.0, 442.0, 50.0, 121.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7983_CROPED.JPG, path time not found, 0, Auto
752.0, 489.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7983_CROPED.JPG, path time not found, 1, Auto
966.0, 440.0, 47.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7984_CROPED.JPG, path time not found, 0, Auto
750.0, 482.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7984_CROPED.JPG, path time not found, 1, Auto
967.0, 441.0, 46.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7985_CROPED.JPG, path time not found, 0, Auto
749.0, 483.0, 63.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7985_CROPED.JPG, path time not found, 1, Auto
968.0, 438.0, 45.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7986_CROPED.JPG, path time not found, 0, Auto
747.0, 472.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7986_CROPED.JPG, path time not found, 1, Auto
968.0, 434.0, 45.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7987_CROPED.JPG, path time not found, 0, Auto
739.0, 467.0, 60.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7987_CROPED.JPG, path time not found, 1, Auto
970.0, 436.0, 44.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7988_CROPED.JPG, path time not found, 0, Auto
739.0, 467.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7988_CROPED.JPG, path time not found, 1, Auto
970.0, 434.0, 43.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7989_CROPED.JPG, path time not found, 0, Auto
733.0, 462.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7989_CROPED.JPG, path time not found, 1, Auto
970.0, 434.0, 44.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 0, Auto
731.0, 464.0, 61.0, 111.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 1, Auto
971, 450, 27, 74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 0, Start 
794, 467, 37, 86, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 1, Start 
971.0, 450.0, 27.0, 74.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 0, Auto
794.0, 467.0, 37.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7990_CROPED.JPG, path time not found, 1, Auto
