2572, 1760, 61, 89, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Start 
2864.0, 847.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2481_CROPED.jpg, path time not found, 0, Auto
2860.0, 845.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2482_CROPED.jpg, path time not found, 0, Auto
2854.0, 844.0, 63.0, 93.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2483_CROPED.jpg, path time not found, 0, Auto
2852.0, 844.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2484_CROPED.jpg, path time not found, 0, Auto
2848.0, 843.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2485_CROPED.jpg, path time not found, 0, Auto
2848.0, 840.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2486_CROPED.jpg, path time not found, 0, Auto
2842.0, 841.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2487_CROPED.jpg, path time not found, 0, Auto
2840.0, 841.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2488_CROPED.jpg, path time not found, 0, Auto
2838.0, 836.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2489_CROPED.jpg, path time not found, 0, Auto
2838.0, 835.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2490_CROPED.jpg, path time not found, 0, Auto
2834.0, 836.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2491_CROPED.jpg, path time not found, 0, Auto
2832.0, 835.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2492_CROPED.jpg, path time not found, 0, Auto
2830.0, 833.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2493_CROPED.jpg, path time not found, 0, Auto
2828.0, 832.0, 62.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2494_CROPED.jpg, path time not found, 0, Auto
2829.0, 832.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2495_CROPED.jpg, path time not found, 0, Auto
2827.0, 831.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2496_CROPED.jpg, path time not found, 0, Auto
2823.0, 831.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2497_CROPED.jpg, path time not found, 0, Auto
2824.0, 829.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2498_CROPED.jpg, path time not found, 0, Auto
2821.0, 829.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2499_CROPED.jpg, path time not found, 0, Auto
